Name,Template,Reference
CPIM,message/CPIM,[RFC3862]
delivery-status,message/delivery-status,[RFC1894]
disposition-notification,message/disposition-notification,[RFC8098]
example,message/example,[RFC4735]
external-body,,[RFC2045][RFC2046]
feedback-report,message/feedback-report,[RFC5965]
global,message/global,[RFC6532]
global-delivery-status,message/global-delivery-status,[RFC6533]
global-disposition-notification,message/global-disposition-notification,[RFC6533]
global-headers,message/global-headers,[RFC6533]
http,message/http,[RFC7230]
imdn+xml,message/imdn+xml,[RFC5438]
news - OBSOLETED by RFC5537,message/news,[RFC5537][Henry_Spencer]
partial,,[RFC2045][RFC2046]
rfc822,,[RFC2045][RFC2046]
s-http,message/s-http,[RFC2660]
sip,message/sip,[RFC3261]
sipfrag,message/sipfrag,[RFC3420]
tracking-status,message/tracking-status,[RFC3886]
vnd.si.simp - OBSOLETED by request,message/vnd.si.simp,[Nicholas_Parks_Young]
vnd.wfa.wsc,message/vnd.wfa.wsc,[Mick_Conley]
