Name,Template,Description,Reference
cgm,image/cgm,Computer Graphics Metafile,[Alan_Francis]
example,,,[RFC4735]
fits,,,[RFC4047]
g3fax,,,[RFC1494]
gif,,,[RFC2045][RFC2046]
ief,,Image Exchange Format,[RFC1314]
jp2,image/jp2,,[RFC3745]
jpeg,,,[RFC2045][RFC2046]
jpm,image/jpm,,[RFC3745]
jpx,image/jpx,,[RFC3745]
ktx,,,[Mark_Callow][Khronos][http://www.khronos.org/opengles/sdk/tools/KTX/file_format_spec/#mimeregistration]
naplps,image/naplps,,[Ilya_Ferber]
png,image/png,,[Glenn_Randers-Pehrson]
prs.btif,image/prs.btif,,[Ben_Simon]
prs.pti,image/prs.pti,,[Juern_Laun]
pwg-raster,image/pwg-raster,,[Michael_Sweet]
svg+xml,,,[W3C][http://www.w3.org/TR/SVG/mimereg.html]
t38,,,[RFC3362]
tiff,,Tag Image File Format,[RFC3302]
tiff-fx,,Tag Image File Format Fax eXtended,[RFC3950]
vnd.adobe.photoshop,image/vnd.adobe.photoshop,,[Kim_Scarborough]
vnd.airzip.accelerator.azv,image/vnd.airzip.accelerator.azv,,[Gary_Clueit]
vnd.cns.inf2,image/vnd.cns.inf2,,[Ann_McLaughlin]
vnd.dece.graphic,image/vnd.dece.graphic,,[Michael_A_Dolan]
vnd.djvu,image/vnd-djvu,,[Leon_Bottou]
vnd.dwg,image/vnd.dwg,,[Jodi_Moline]
vnd.dxf,image/vnd.dxf,,[Jodi_Moline]
vnd.dvb.subtitle,image/vnd.dvb.subtitle,,[Peter_Siebert][Michael_Lagally]
vnd.fastbidsheet,image/vnd.fastbidsheet,,[Scott_Becker]
vnd.fpx,image/vnd.fpx,,[Marc_Douglas_Spencer]
vnd.fst,image/vnd.fst,,[Arild_Fuldseth]
vnd.fujixerox.edmics-mmr,image/vnd.fujixerox.edmics-mmr,,[Masanori_Onda]
vnd.fujixerox.edmics-rlc,image/vnd.fujixerox.edmics-rlc,,[Masanori_Onda]
vnd.globalgraphics.pgb,image/vnd.globalgraphics.pgb,,[Martin_Bailey]
vnd.microsoft.icon,image/vnd.microsoft.icon,,[Simon_Butcher]
vnd.mix,image/vnd.mix,,[Saveen_Reddy]
vnd.ms-modi,image/vnd.ms-modi,,[Gregory_Vaughan]
vnd.net-fpx,image/vnd.net-fpx,,[Marc_Douglas_Spencer]
vnd.radiance,image/vnd.radiance,,[Randolph_Fritz][Greg_Ward]
vnd.sealed.png,image/vnd.sealed-png,,[David_Petersen]
vnd.sealedmedia.softseal.gif,image/vnd.sealedmedia.softseal-gif,,[David_Petersen]
vnd.sealedmedia.softseal.jpg,image/vnd.sealedmedia.softseal-jpg,,[David_Petersen]
vnd.svf,image/vnd-svf,,[Jodi_Moline]
vnd.wap.wbmp,image/vnd-wap-wbmp,,[Peter_Stark]
vnd.xiff,image/vnd.xiff,,[Steven_Martin]
